0	as of 1.8 , do sheep regrow their wool ?	borderlands 2 crashing on startup
0	getting a dōjin soft ( japanese indie game ) to run	digital download and cd keys for world of warcraft cataclysm
1	how do i activate the daedric gauntlet in the midden ?	what is the oblivion-symbol gauntlet in the midden ?
0	find missing points	how can i fix stuttering and lag issues in deus ex hr director 's cut ?
1	does the keywarden in act 4 randomly drop keys ?	where are the key wardens and where are my keys to create a hellfire ring ?
0	i killed caesar . am i missing out on any quests ?	how are the new stat comparisons on items calculated ?
1	what is the easiest way to make obsidian ?	what is the safest way to farm obsidian without burning to death ?
0	how can i regenerate health ?	what happened to my companion ?
0	how do i change my wallpaper ?	how do i know my eevee is ready to evolve into umbreon ?
0	will i brick my wii if i install a homebrew operating system ?	pokemon x/y searching in the gts
0	how do i activate the lanayru desert mining co . stone cache power generator ?	in co-op , does enemy item/loot drop depend on who gets the kill ?
0	in ffvii , when the final boss is defeated , can i return to the world map ?	mysterious right-angled triangle with a chain of circles around it ?
0	will i miss anything important if i turn the sound off ?	how do i change the form of deoxys in pokémon x and y ?
0	do i benefit from assigning skill points to both weapon sub-skills ?	can you get your own house ?
0	why is it snowing in a forest ?	what is this galaxy at war stuff on the main menu ?
1	hiring bitizens with panna city medicines as their dream job	has anyone seen a bitizen with panna city medicines dream job yet ?
1	how many daedric missions are there that give you armor as a reward ?	where do i find all of the daedric quests and artifacts in skyrim ?
0	how do i get my dwarfs to kill a giant rat ?	how do you re-unlock all story missions with a new character ?
0	is it possible to unequip a piece of gear ?	expat xbox gaming
0	the game always crash after saving	is it possible to control the weather ?
1	which challenges unlock skins ?	collecting all skins and customizations
0	is there any way to fight ai opponents without doing the revenge campaign ?	how do i beat the giant nougat monster ?
0	what is the easiest way of getting magic coins in the sims : makin ' magic ?	missing/red terrain in mount and blade : fire and sword
1	what buildings are benefited by adjacency to workshops ?	what are the proximity bonuses for adjacent buildings and when do they apply ?
0	can not pan map far enough south	is there a quick way to delete saves off of the steam cloud ?
0	where does draw something send your password to ?	what monsters drop the most gil ?
0	sam turret 's capabilities	mjoll 's grimsever
0	cerberus network access : possible problems ?	how can steam be prevented from downloading a billion copies of directx ?
0	how can i get more room in my inventory ?	how do i restore health in blood and glory legend ?
1	how many legendary pokemon are in x and y ?	how many pokemon in x & y are legendaries ?
0	what do i do with this cone ?	how can i resolve a 3ds networking issue ?
0	why does the ammo bar color change ?	how to access the single player campaign in battlefield 3 on pc after previously playing on ps3
0	how can i get out of the lava without dying ?	do calves jump ?
1	minecraft can not connect to lan : operation timed out	why is not my minecraft lan server working ?
1	what happens if i am able to choose the third paragon dialog option with the illusive man ?	how do you get the last paragon/renegade dialogue option towards the end of the game ?
0	how can i find out the rarest steam achievement ?	how do i defeat 75 zombies within 25 seconds ?
0	how often do harvesting spots recharge ?	should i catch up with the gears of war series or just start with part 3 ?
0	is there any way to go straight to the bottom of the tower ?	do summoned creatures get stronger as i level up ?
0	what does the " tactical options available " message mean ?	i have restarted the campaign by accident , can i cancel this ?
0	starcraft ii profile url path	how can i recover my minecraft game , after i loaded it without biomes a plenty ?
0	alu in minecraft , what can be achieved with this ?	how does the day/night cycle work ?
1	pro 's and cons of being a vampire/werewolf in skyrim ?	what are the advantages and disadvantages of becoming a werewolf ?
1	minecraft : experience orbs in beta 1.8	what is the point of leveling up in minecraft ?
1	when would i want to be somebody 's friend ?	are declarations of friendship worth it ?
0	why should i use a bound sword ?	i do not know where my . minecraft is
0	can i restart a side mission ?	completing the final room of " kumoon " ?
1	is there any other fuel to power my ship ?	how do i fuel my spaceship ?
0	trading pokemon that know hm moves - x/y	in what situations is abigail useful ?
0	what are the chances for king dedede 's side+b to perform each of its variants ?	how do i send my pet off to sell items ?
1	guild wars 2 server population	full servers : based on total population or current players logged in ?
0	what are the rules about playing words which are inside already-played words ?	arcadia called me a nord , even though i am a breton
0	xbox 360 3d guide	how does the scoring system work in magicka challenge mode ?
0	how do i defeat volcanicrab , the ignan ruins boss ?	why are my characters not available for the witch hunt dlc ?
0	does the order of playing the single player or co-op campaigns matter ?	how do i keep from going bankrupt ?
0	how can i adapt to playing fps games on a ps3 instead of pc ?	why did miranda leave cerberus ?
0	xbox 360 hdmi cable ?	is it dangerous to go extreme pig riding in a thunderstorm ?
1	do you receive trading cards at set intervals ?	how often do trading cards drop ?
0	fighting a zero suit samus cpu in brawl	when you click on the scenery in hearthstone , does your opponent see it ?
0	how do i visit previous acts ?	consequences of poor performance early in the campaign
0	ps3 games on different systems	solid chests respawn rate in wow ?
0	java . lang . nullpointerexception in vanilla minecraft ?	who is the voice of dj atomika in burnout paradise ?
0	when do i get my first companion ?	what is the reward for breaking a tomb open in gemcraft labyrinth ?
0	can i add a handicap to a particular player ?	what use are chocolate bars
0	is it ( currently ) possible to share games between users on different computers ?	what if i do not kill the enthralled wizards during the morokei quest ?
1	is it worth to play random ?	as a bronze league hopeful , is it better to focus on one race or should i keep playing as random ?
1	how can i play diablo 3 with a gamepad ?	can i use a game controller to play diablo 3 ?
0	does cyclone strike have some kind of hidden stun ?	help with installing minecraft mods on a mac
0	battlefield 3 download stuck at 95%	how to change audio language whilst keeping english text ?
0	ac:r multiplayer : how do some high level players re-use abilities so fast	how do i stagger the final boss ' final ( 4th ) form ?
0	are robes considered light armor ?	how do i reset my manor so i can rebuild it with different options ?
0	how does armor work in minecraft ?	how can i visit a friend 's island in dragonvale ?
0	what is the difference between tekkit and normal minecraft ?	can i play assassin 's creed 2 or use ubisoft 's uplay offline ?
0	psionics in xcom ( ipad version )	how can i hide my helm or shoulder armor in guild wars 2 ?
0	where can i obtain the amtrak p42dc genesis from train simulator 2013 ?	how to get the timing right when parrying ?
0	pvz : how can protoss keep up with the zerg production ?	how do i get the lockbox in this location ( aberdeen - west part of the docks ) ?
0	how to use price guarantees in patrician 4 ?	what are the effects of aging and health ?
0	where should a level 110 character level and or quest ?	when should i use a rare candy ?
1	reasons for lvling up in gw2 ?	does your level serve any purpose outside of pve ?
0	where do bus passengers want to go in openttd	does link between world 's hero mode impact the street pass battles ?
0	modern warfare 3 crashes my computer in the middle of game	"professor portal " achievement in portal 2
1	where do you find a booze barrel ?	how do i get dwarves drunk ?
0	do the mastery " evasion " applies against karthus 's requiem ?	how can i get some games to install via steam under wine ?
0	can we really hack each pc we come across in fallout 3 ?	is it possible to win in project zomboid ?
1	when does the revive timer resets ?	what determines revive time ?
0	will destroying the default interbus customs office in low-sec , reduce standing with interbus ?	can you kill the landowner ?
1	minecraft force update problem	minecraft 1.4.6 force update problem
0	how do i earn the " i am a genius ! " achievement ?	is there a way to change time in creative mode of minecraft ?
0	artist colony - general extraction error	does the timing of a game release affect sales ?
0	recruit-a-friend xp bonus question	how do i complete the incomplete symbol on the door in faron woods ?
0	which signal should i be using ?	can not stop running using logitech f510 playing assassin 's creed 3
0	is there a way to know which ability is the best to use on a boss ?	how do i keep endermen out of my mushroom farm ?
0	lord of the rings online & emulation	how can i build more facilities ?
1	how can i reach the treasure in the right door of desert temple ?	how do i beat the desert temple third room ?
0	how to host a minecraft server ( without using realms ) ?	planning perk point allocations throughout skyrim
0	what is the easiest way to gain the master of patience achievement ?	what determines the gain from the honor policy and aztec unique ability ?
0	in dark souls 2 , what does this white soapstone icon mean ?	how do i maneuver the jet ?
0	now that i have beaten the game , should i play again in hard mode ?	does dayz run on linux ?
1	do passives triggers during a duel ?	what actions does legion commander 's " duel " abillity restrict ?
0	version of game to best experience modern warfare single-player campaigns and multiplayer modes ?	why does replacing my offhand crossbow with a quiver increase my damage ? ( screenshot )
1	portal keys and capsules	does putting a key in a capsule mean you can hack more ?
0	why am i being called a murderer ? i am innocent _this time_ !	if i get hots can i still play wol with friends
0	can animals spawn ?	how can i run games full-screen on a widescreen laptop ?
1	can i delete quests ?	is there a way to clear quests from your journal in skyrim
0	monster respawning in unepic	how many collectibles are there , and in what chapters can i find them ?
0	confirmation email address error code 16	how to get more renown ?
0	can i complete the game both ways ?	do tank bullets inflict damage on other tanks and jets in battlefield 3 ?
0	is there a way to make cave spiders passive in minecraft ?	is playing mw2 via alteriw legal ?
0	where are screenshots taken with the swtor holocamera saved ?	is it possible to set the secret world to remember and auto-join a custom chat channel ?
1	can some weapons not fuse with each other ?	why are some weapon fusions blocked out with a question mark ?
0	how do you go to the big moth cave guarded by dinogator in scarlet pillars ?	how do grey-background words differ ( other than colour ) ?
1	why is this challenge room locked ?	how do you open the barred doors in the binding of isaac ?
1	mega ring problem in pokemon x	why is my mega stone not in the location it should be ?
1	humble indie bundle soundtrack - cavestory+	how to make sense of the cave story+ soundtrack in the humble indie bundle 4 release ?
0	why can not i break bedrock on my spigot server ?	how can i extend the view distances further ?
0	do creepers attack villagers ?	how do i access the interactive back-story by dark horse comics before starting mass effect 2 ?
0	when i try to run angry birds , i get a resolution error . how do i fix this ?	is it safe to put ( 3 ) ds game cards in your pocket ?
0	how do detonation power upgrades work ?	single player command and magic launcher
1	how to host a minecraft server ( without using realms ) ?	how can i host my own minecraft server ?
1	what happens to our characters when 2.1.0 ( diablo 3 ) goes live ?	is it possible to get your loot from the public test realm ?
0	how do i change the graphics settings after the initial launch of the game ?	what are the specific save import bonuses for mass effect 3
