1	what does destroying communications stations do ?	how , and when , do resource constraints affect just cause 2 ?
1	what does rating a memory sequence do ?	do mission ratings in assassin 's creed iv actually go back to ubisoft ?
0	spiral knights account conversion	does tekkit support 1.5 . x ?
0	why would i want a horse ?	starcraft 2 wol achievements in hots
1	easter egg in act 2 ( desolate sands )	wheel of misfortune
0	is there any way to order more than 30 items in a single order in the management interface for dwarf fortress ?	where have my items disappeared to ?
0	is there anyway to stop a download on steam ?	pay day 2 pro job vs difficulty for experience
1	where does civilization v prefer to place each civ at the start ?	what is the starting bias for different factions ?
1	best way of handling giants ?	how do i kill a giant ?
1	are alchemy and enchanting broken in skyrim ?	fortify alchemy/fortify enchant stacking ?
1	just downloaded minecraft no bin folder or minecraft . jar	lost my bin folder and my minecraft binary files , what do i do ?
0	what is the best tactic for a fed carry ( ap or ad ) with normal offtanks against a fed offtanks with normal ( ap or ad ) carry ?	is it possible to change inflation in openttd while it is running ?
1	what does " rooted " mean ?	what are all the status effects and what do they mean ?
1	does block and dodge chance stack ?	how do armor , resistances and missile/melee damage reduction interact ?
1	how does x% chance of finding gold work for a party ?	how does x% chance of finding magical items work for a party ?
1	in xcom : enemy unknown , which types of scenery are destructible ?	is there a way to recognize destructible environment in xcom:enemy unknown ?
1	gem slot search auction house	is there a way to tell the ah not to take gems into account when searching ?
1	can mobs go through portals ?	can creatures follow me through a portal ?
0	what is the movement rate of a chryssalid ?	how to change my mu description in republic
1	diablo 3 weapon / skill elemental attributes	is magical/enchanted damage more effective against certain types of monsters than others ?
1	crysis 3 on dell inspiron	how can i check if my computer 's powerful enough to run a certain game ?
0	how to enable all the hint movies in new super mario bros . wii ?	can i restore a ps3 backup to different console without erasing the existing data there ?
1	ip in league of legends	how much ip do you get for winning & losing games in the various modes/maps ?
0	why use slow weapons ?	what can shaco 's ultimate dodge ?
1	how do i unlock shampoodle in animal crossing new leaf ?	what is a guy got to do to get a haircut around here ?
0	did the designers of monkey island 2 ever explain the ending ?	help me fix façade !
1	in guild wars 2 , what i should do with unwanted equipments ?	what is the most profitable way to get rid of equipment ?
0	how do i use a town portal ?	employee level vs design/tech rating
0	which champions can roam effectively in league of legends ?	ever increasing counteroffers
1	is there a difference between adventure play after pass 2 in plants vs . zombies ?	how many more " gimmicks " does adventure mode have ?
0	how can i get rid of these thick and pixelated outlines ?	what effects to does a higher skill level have
0	how can my friend and i play tf2 against bots ?	differences in fallout 3 between xbox 360 and pc
1	when combining runes , can you get runes that you already have 9 of ?	how does rune combiner work ?
1	shawdomere died and i can not get him back	shadowmere fell off a cliff and died . how do i get him back ?
0	how do you message other players in starcraft 2 ?	where do i find the nei configuration file ?
1	what is the best program to use to record minecraft ?	how can i record demos of my gameplay ?
0	is there a way to connect an external display to a nintendo ds/dsi/dsxl ?	compare item with follower
0	how do level seeds work ?	is there anything past the flagpole in super mario bros ?
0	do global shares mean anything after trigger the true end	best strategy for true vault hunter mode
0	which four items will give varus his maximum damage potential ?	in ftl advanced edition , what can be gained from manning sensor or door subsystems ?
1	do i need to worry about griefing pvp ?	is there pvp in diablo 3 ? how does it work ?
0	is there anyway to get someone out of " attack on sight " mode once diplomacy failed too much ?	how many troop transports do i need to take a minor race planet in botf ?
1	can"t get into college of winterhold-skyrim	can not get into the college of winterhold
1	pocket edition server problems	trouble connecting to friend 's pocket edition lite server
0	what style of dance pad is compatible with the new wii ?	loading a single player world crashes with an internal exception
1	does destroying everything give experience ?	are there any benefits to blowing everything up ?
0	can i play a country-locked steam game if i buy a physical copy ?	ignoring front missions , can this cause popularity to drop ?
1	how strong are the conjured " bound " weapons compared to their physical counterparts ?	how much damage does a conjured weapon do ?
1	minecraft crashed with this report ?	is there a list of error codes for minecraft ?
0	why are californian super mutants generally friendlier than the capital wasteland ones ?	which skills can reveal enemies ?
0	does the ck2 ai favour other ai players ?	how to always start league of legends in fullscreen mode ?
0	what is " legion 's mission in mass effect 3 ? "	how do i beat mad mike ?
1	trying to get 29% fortify destruction	how do i create fortify alchemy enchantments up to 29% ?
0	what is a great inventory crusher for minecraft ?	how can i keep my embermage alive ?
1	what is the minimum number of booster tracks needed to get up to full speed ?	what is the maximum number of powered rails in a row that is useful ?
0	champion picking	do food skills and armor skills stack ?
0	how to speed up on starting line in sonic rivals ?	what is rotating ?
1	what is the purpose of having banned champions in ranked league of legends games ?	why are characters banned in tournament play for dota-likes ?
0	can you turn off the light bar detection feedback ?	reinstalled starcraft 2 ( new system ) , lost my achievements
0	do fire walkers damage enemies ?	why is the pope so erratic ?
1	is there a difference between ias from armor and weapon ias ?	why do some items that increase attack speed work , and others do not ?
1	minecraft - " could not unpack natives"	is there a list of error codes for minecraft ?
0	is there a way to check my loadout from inside a game ?	what is this block i keep seeing in tekkit with sips and sjin ?
0	how do you set up a lane to snowball properly with creeps while you do something else ?	dream jobbers for med bay or cloth fabricator ?
0	how exactly does the unlockable pack dlc work ?	how does currency work ?
1	upgrading uchigatana +11	how do i ascend a +10 normal weapon to a +11 normal weapon ?
0	where does audiosurf put corkscrews ?	i am looking to play with the unique r/c cars only available in the demo versions — how can i do this ?
0	setting up an indirect server for minecraft	xbox 360 dlc does not recognize usb ?
0	who are the revelers ?	what combo are ultralisks good against in wol ?
1	just downloaded minecraft no bin folder or minecraft . jar	how to install mods for the new minecraft launcher
1	how to farm as an early lvl 60 in diablo 3 ?	best farming place to get ready for inferno
0	"unable to initialize graphics engine " error	is there any advantage to talking to random townspeople ?
1	how do you mine obsidian without burning ?	i keep dying when i am mining obsidian on minecraft . why ?
0	houses in skyrim	would i have to purchase two gears of war 3 season passes ?
1	borderlands 2 sanctuary slots	what are the odds on the slot machines ?
0	what is a good amount of worker saturation mid to late game ?	will augmented solders keep their previous rank when they become mec troopers ?
1	battle .netaccounts and diablo 3	do i need to buy multiple games to be able to play diablo 3 with my wife ?
0	what are the business ledgers used for ?	how does growth and food work in pandora first contact ?
1	minecraft keepinventory command not working	keep items in inventory on death in minecraft
0	can not unlock bend will shout	infinity blade 2 on my ipod
1	what are the benefits of upgrading crew in ftl ?	what difference will the more skillful ( 1 star or 2 star ) crew members make compared to a non-skilled one in ftl ?
1	i am planning on going out to pakistan	will an xbox 360 bought in the us work in india ?
1	is there anyway to transfer money between franklin , michael , and trevor ?	can i transfer money to other main characters ?
0	huge lag when moving mouse	are mario & luigi orphans ?
1	what am i missing from my inventory ?	what is the item to the right of the green shark fin ?
1	what happened to lydia ?	how do i find my follower if and when they leave me ?
1	do monsters despawn in minecraft	when do mobs despawn in minecraft ?
0	how does the game decide which building to center on when double-tapping a hotkey bound to multiple separate buildings ?	are classic games released on steam somehow optimized for modern computers ?
0	how can i protect my buildings against creepers ?	at which levels do you unlock new showcase slots ?
0	taking down helicopters	minecraft 1.6.4 does not install
0	is it safe to drink my contaminated water ?	what are the " rare " monsters found throughout the clockworks ?
1	damage dropping when equipping an additional 1 handed weapon	how is listed dps calculated when dual-wielding weapons ?
1	why does not magic weapon have a buff indicator ?	how can i track " magic weapon"s cooldown ?
1	does crouching decrease spread ?	does crouching improve accuracy with most ranged weapons ?
0	minecraft gamerule keepinventory	will i keep skill points from books and trainers after respeccing ?
0	what exactly is the ability of ultimate farm tools ?	if multiple systems have an available trade route , which one gets the route ?
1	can we remove the bulletproof vest on the character ( gta v - online ) ?	how do you take off body armor in gta online ?
0	how does shield work in loadout ?	my son/heir wants to join the varangian guard , should i let him ?
0	is there a maximum to the amount of paragon/renegade points in mass effect 2 ?	where could i start from to find the path to the green gun ?
0	lichbane proc damage on statchanging spells	what kind of salvage do rogue drones drop ( if any ) ?
1	guild wars 2 beta client same as the real client	do i need to download the client again ?
1	cant break blocks in creative mode	why can not i destroy or place blocks ?
0	why has the game " oregon trail " remained nostalgically popular for so many in the us ?	does cooldown reduction influence item abilities ?
0	where can i find wood ?	do you need a certain apartment to do a heist in gta online ?
1	are there any repercussions to killing policemen ?	are there any consquences to killing the innocent ?
0	how to use buildings on the battle map ?	rb3 mic problem
0	does finding the " secret map fragments " in trine 2 goblin menace do anything ?	trouble connecting to friend 's pocket edition lite server
0	what is nephalem glory , and what does it do ?	how to purge a corridor of spiders ?
1	where can i find an item that can be disenchanted to learn " resist fire ? "	where can i find an item i can disenchant to learn fortify alchemy ?
0	what is the easiest way to get the " midnight launch " achievement ?	"no suitable display mode found " error for dawn of war & dow : winter assault
0	all monster values ? ( resistance , damage , evasion , ++ )	how do world events work in pocket planes ?
0	do venom hydra pools stack ?	hosting minecraft server via webmin on ubuntu
1	can you craft your own spells in skyrim ?	can i still craft my own spells ?
1	strange nether portal bug	nether portals exiting into a different location
0	can two urgot use their ultimate on each other simultaneously ?	what exactly is the difference with challenge mode ?
1	diablo iii affix range list ?	what is the cap for equipment modifiers ?
0	throwing an ender pearl at a slime block while falling	how do i acquire the full armour of thorns set ?
0	what is the difference between a defense drone and a combat drone	how can i deal with repeat teamkillers in bfbc2 hardcore mode on ps3 ?
0	how can i turn off the grain effect in silent hill 3 ( pc version ) ?	when do i give up and go home ?
1	minecraft - create new server using edited existing map/world - randomseed ?	is it possible to turn a minecraft single player map into multi-player server ?
1	can you play a map on multiplayer ?	is there any way to play a custom map in multiplayer ?
0	influence of employee stats on game quality	how to increase demand for a product ?
1	is quarian and geth peace possible without importing a me2 save ?	how do i establish peace between the geth and the quarians ?
0	wireless headset with wired controller ?	where is the auction house ?
0	osmos hard level strategies	how do the ending narrations in de:hr change depending on your playstyle ?
1	enchanting items above 37%	maxing out gear with maxed out smithing , enchanting and alchemy
0	any way to get rid of the dlc nag messages ?	what parts of fallout : new vegas are based on the real world ?
0	how do i add mods to minecraft smp server	the last rocket : how do i get to the hidden gear in lvl 5-4
0	how do i use ranged weapons ?	what can i do if i damage my 10nes chip to restore my nes system ?
0	can i restart godus from the beginning ?	deleting logs in uplink
0	how do i change the design of an already existing ship or base ?	i bought the tears of veeshan expansion for everquest 2 but i am still unable to use the mercenary feature
1	is there a specific chance of hatching a shiny in x and y using the masuda method ?	by what amount does the masuda method increase the chance of breeding a shiny ?
0	from what dlc should i start ?	how to get a specific floor in my tower ?
0	what is the max number of sockets for each equipment type ?	foolproof strategy to beat civilization 2 on any level ?
0	which hero types can learn which abilities ?	how do i get rid of the message " warning : you are leaving the hide and seek area " ?
0	what is the deal with " two colour mode " ?	is it possible to get items from past events ?
0	pause during cutscenes	can i play any quake 1 mods without original game ?
1	how to make a villager move out in animal crossing new leaf ?	is there a way of moving unwanted villagers out faster ?
1	what happens to shadowmere if i rode another horse in falskaar ?	what happens to my horse if i ride another horse ?
0	will most usb ps2-like controllers work on ps3 ?	how does the lumber mill work ?
0	what should i do if a city-state requests my support ?	prevent players from playing my missions
0	swirling dust clouds in caverns	if you keep the torch inside your inventory , will their fire extinguish ?
1	absolute best race for mage ?	in skyrim , what race is best suited for a mage , a juggernaught ( warrior ) , and a thief ?
1	what is the gem icon in dota2 twitch stream ?	what does this icon do in dota 2 ?
0	our city has 40 citizens . our well has 114 water rations left . what gives ?	stuck at hidden blade cutscene
0	continue a civ5 game over internet that started on lan	can i install a damaged disc to hard disk without damaging it any further ?
1	how do i effectively lane against mordekaiser ?	how do you counter mordekaiser ?
0	how much extra damage does using an enemy 's elemental weakness inflict ?	what is the easiest or quickest way to build bases under water ?
1	how do i get rid of a bounty ?	how do i get rid of my bounty ?
1	what type of items drop " fiery brimstone " ?	what salvages into what ?
0	why will not my researchers advance further in sandbox mode ?	how are ancillary armor repairer blueprints seeded ?
0	is it possible to control another character besides shepard ?	what is the install size of mass effect 3 on the ps3 ?
0	will increasing " bull 's eye " on hunter increase critical chance for his " volley " ?	does where i aim my attack matter in skyrim ?
1	how do i find roommates ?	how do i build a house for my npcs ?
1	how can i determine the bottleneck in my gaming rig ?	determining if a game is cpu- or gpu-limited
1	what is the purpose of a smurf account in league of legends ?	what is smurfing in online games ?
1	how should i build a barbarian as i progress through inferno ?	building barbarian in inferno
0	chaining mind controls	how to get the ender dragon egg to the overworld
0	can i realistically use forestry without buildcraft ?	what moveset should my skitty have to be useful ?
1	what is the highest amount of fortify archery i can receive on a single item ?	maxing out gear with maxed out smithing , enchanting and alchemy
1	why bother getting larger soul gems in skyrim ?	what difference do gems make in enchanting weapons ?
1	what is the easiest way to make obsidian ?	what is the safest way to farm obsidian without burning to death ?
1	is it still possible to set your username in offline mode in minecraft 1.6 and later ?	how do i change player name in minecraft smp in offline mode on a mac ?
0	minecraft mechanism to separate merged carts ?	where are the pandora engine and rudder tuning crates ?
1	what effects to does a higher skill level have	what is the benefits of having a higher skill ?
1	3ds later download : shall i close the lid while later downloading ?	how does download later work ?
0	my npc truffle will not spawn in terraria	which character attribute affects staff bolt attack ?
1	how do i play with others in neighbourhoods . . . cannot access	joining a game with an empty slot
0	does conrad verner make an appearance in mass effect 3 ?	why bother with meteorite armour ?
0	why does my computer restart every time i try to play cs:go ?	where do minecraft texture packs go on os x ?
0	console command to increase movement speed ?	how can i stop civilizations dying out and fortress abandonment ?
1	online affect other accounts on the same platform ?	playstation plus for ps4 on multiple console accounts ?
1	can i discover new potions besides using trial and error ?	how do i find out the additional 3 effects of ingredients ?
1	is it possible to copy my accounts and put them on the computer version on skyrim ?	transferring skyrim saved games from one machine to another
0	lost searching ability in nethack	how can i import patterns via qr code ?
0	should i use chocolate bars to enchant ?	does the jackpot ii merit award affect the glim reaper trophy ?
0	interdimensional redstone circuitry in tekkit-lite ?	where are all the secret music disk located ?
1	minecraft file download ( mac )	is the . minecraft folder hidden on a mac ?
1	what is the difference between black souls and white souls ?	what are the advantages and disadvantages of each version of azura 's star ?
1	what happened to my companion ?	how do i find my follower if and when they leave me ?
0	which games do i really need to mount in a garrys mod server ?	are farmers needed once the harvest is complete ?
0	what happens if you die trying to beat the thunder dragon 's challenge ?	can lightning set stuff on fire ?
0	is there continuity i would miss if i skipped x-com and went to x-com 2 ?	what do these abbreviations mean in rise of nations ?
0	xbox 360 can not boot , help	activity feed on xbox one private ?
1	how can i tell what type of damage an enemy is dealing ?	how do i know which damage type monsters inflict ?
0	any useful strategies for finding a nether fortress ?	why do i still have arrows stuck in my arm ?
0	how can i remove poop ?	at what levels do heroes in hearthstone earn gold cards ?
0	what do the golden puzzle pieces you get from the goat herder do ?	what determines the price of unusuals ?
1	what is evey single command in minecraft	what are the commands for the lan world ?
1	is it possible to find a legendary in a vending machine ?	can you get legendary weapons in vending machines ?
1	what is the use of dragon bones in skyrim ?	what can i do with dragon bones and scales ?
1	do the rules that apply to a lava block apply to the run off from the lava block ?	minimum safe spacing between lava and flamable materials ?
1	can you become a werewolf vampire hybrid the second time you are trying to be werewolf ?	how exactly does lycanthropy work ? does it mix with vampirism ?
1	how can i run minecraft 1.6.4 on 1.7.2 client ?	how do i downgrade minecraft to play on a server running an older version ?
1	in the ending , what happens to the boy and the girl ?	can someone formulate a clear description of the ending of limbo ?
1	who gives the quest leading to volkrund keep in falskaar ?	where are crystal pieces for the dreams in oblivion quest ?
1	how do i become a vampire after i have been a werewolf ?	how exactly does lycanthropy work ? does it mix with vampirism ?
1	why cant i get post game items like the mega stones in pokemon x ?	why is my mega stone not in the location it should be ?
1	how will the race i pick affect quests and skills ?	what are the advantages/disadvantages of each race ?
0	which npcs detect when jensen is using social enhancer pheromones ?	what do the 2 sections of the xp bar represent ?
1	damage based on ult cast or on hit ?	when are teemo 's bomb 's damage calculated ?
1	the capability to use external hard drive on xbox 360 is unlimited ?	could i use a 1/2tb usb 2/3 external hdd with an xbox 360 ?
1	how can i get my lost vokun mask back ?	how can i find a lost item ?
1	redstone ore minecraft pocket edition	how can i mine redstone ore ?
0	how do you use the moster gold medal ?	what are some advantages of different usages of jokers ?
0	what is mmr and how is it calculated ?	why can not i defeat alduin ?
0	is it possible to control another character besides shepard ?	difference between health and damage absorption in war of the roses
1	what is a 2.5d dimension game ?	how can a game be 2.5d ?
1	how to get mods without a ( version ) . jar folder in my . minecraft folder ?	how to install mods for the new minecraft launcher
1	where can i find a forsworn briar heart ?	repairing the white phial quest broken ?
0	does attack speed modify the animation speed for priests on tera ?	how do i enter the cheat codes for noclip , immortality , etc ?
0	how do i use block ids in worldedit for minecraft ?	can tamper-resistant blocks be removed by an op ?
0	how do i find missions in gta online ?	what are the time differences between 6 , 7 , 9 , 10 pool ?
1	can not get arcade 's quest	what are the exact triggers for initiating companion quests in fallout : new vegas ?
0	how do i get the bandage in 1-18: altamont ?	statistics from a minecraft pe world ?
0	how do i open the locked house in balime ?	which items are lost when i am brought back to life ?
1	got rueful axe and all other drastic artifacts need help	how to salvage oblivion walker achievement after messing up pieces of the past
0	can players buy boots from a visiting streetpass party ?	what is the range of a soul cage ?
1	how do i get my jewels/gems out of my weapon ?	how do you recover socketed gems/runes from an item ?
1	imac voice chat not working with starcraft 2	has anyone had success with voice chat in starcraft 2 ?
0	trainers who sell as well as train	is it possible to install/run 16-bit games on win 7 32-bit ?
0	what do all these security levels mean in eve-online ?	pokémon bank error code 006-0105 help ?
1	a yorick problem !	if mordakaiser 's , zilean 's , and yorick 's ults are placed on a champion , in what order do the ults take place ?
1	how far do crimson/corruption biomes spread ?	how can i save the world from both good and evil corruption ?
0	is there a tested way of chatting with wlm contacts in-game while playing forsaken world ?	is there any benefit to having foil cards ?
0	making your actions properly repeatable	the overworld map on m&b warband automatically moves for me , help !
1	how do you unlock yoda , r2-d2 or darth vader ?	does unlocking bitizens via the album make them available for play in the game ?
1	when people turn to ash does it count as a body ?	does using shadow kill lower your chaos level ?
1	not a valid valid housing	how do i build a house for my npcs ?
1	rare monster with a strange ability and a skull icon on top of it	what do the skull and crossbones icons over the heads mean ?
1	how do i breach the castle ?	how do i finish castle 's entrance ? how do i avoid the homing projectile ?
0	how to remove all non-steam games from games library	support solider can not take cover , shoot or heal
1	what are the exact buffs that baron gives ?	what effect do neutral buffs have in league of legends ?
0	logitech g27 with need for speed : the run	what is the probability of 4 ?
1	how can i search a rare item by name in the auction house ?	is it possible to search for existings auctions of a rare item ?
0	bungeecord player list faker on server list	imperial assignments " costume " reward
1	why are enemies so treacherous ?	how do i accept a yield ?
0	is it considered " cheating " to use player levitation ?	how to emulate the presence of a controller in pc ?
1	completion time in dx:hr	how can i tell how long ( more or less ) it will take me to complete a game ?
1	how many blocks would 1 km be in minecraft ?	how do i get the ' on a rail ' achievement ?
1	i cant break blocks in minecraft but i can place them and do other things	why can not i destroy or place blocks ?
0	what does this green symbol mean ?	how do i check whether i have the latest far cry patch on xbox 360 ?
1	"panna city " dream job ?	has anyone seen a bitizen with panna city medicines dream job yet ?
1	transferring specific data from an old ps3 to a new one ?	is it possible to get data off of a dead ps3 ?
0	how does armor work mathematically in quakelive ?	what triggers an ai empire ?
1	why can not i improve my house in skyrim ?	why can not i upgrade the inside of my house ?
0	how do i get the midnight launch achievement ?	how do i obtain the battlefield 3 special operations camouflage ?
1	which strategy allows you to beat rosh the most times in diretide ?	most effective hero against roshan ?
0	is there a good way to determine squad mate cooldown time ?	is there a " wait " command ?
1	who replaces tali ?	does anyone step in to fill the holes in your roster ?
0	when does the day refresh ?	do wings of liberty decisions have any effect in heart of the swarm ?
1	monsters under my minecraft bed !	how can i prevent hostile mobs from spawning ?
0	why will not my follower follow me after the " a night to remember " quest line ?	does the xbox windows controller work with directinput games ?
1	what are the advantages/disadvantages of having a light/dark side alignment of the opposing side ?	how do dark side and light side points work with regard to your faction ?
1	how do event bosses work ?	how do cursed chests work ?
0	what is strafe jumping ?	unable to play sacred 2 multiplayer
0	will aela the huntress ever use werewolf form in combat ?	what skills exist that will help my hero level up faster ?
1	running c&c 16 or 32 bit game on a 64 bit system	how do i run command & conquer gold on windows 7 64-bit ( in xp mode ) ?
0	are the coins scattered around the castle only useful for health ?	how many have i killed today ?
1	best follower for battle wizard ?	what are the strengths and weaknesses of each follower ?
