1	the conservation of energy when a spring is placed in acid	compressed spring dissolving in acid
0	heating and recooling of an object	when do i apply significant figures in physics calculations ?
0	why can not i calculate center of mass via torque ? results off by a few percent	postulate of quantum mechanics on wavefunction collapse
0	is the charge of an ion evenly distributed ?	common false beliefs in physics
0	should i learn classical physics if i want to learn quantum physics ?	if a window in a plane cabin breaks will a bunch of water vapor form ?
0	dual variables for lattice fermions	calculating dynamics of a thick sheet of material
1	is there any general position function $x ( t ) $ that gives the solution to $x'' ( t ) = k/x ( t ) ^2$ , where k is a constant ?	integrating radial free fall in newtonian gravity
0	two qubit problem	understanding the cause of sidebands in amplitude modulation
0	how does nuclear war look like from space ?	how is the hanbury-brown and twiss effect used to measure the size of stars ?
0	virasoro tt ope in polchinski 's book	rotations in space-time
0	force of hail falling straight	question on quantum harmonic oscillator
0	what crystal structure have electrons in wigner crystal ?	creation and annihilation operators
0	reconciling refraction with particle theory and wave theory	pulse generation
0	what is " quantum levitation " ?	magnetic multipoles in spherical harmonic
0	convert acceleration as a function of position to acceleration as a function of time ?	conflict between lippmann–schwinger equation and gell-mann and low theorem about energy
0	find work done by force along a path - is parameterization the only way ?	how does a plasma globe work ?
0	has anyone checked whether the speed of light varies according to gravitation	radiation pressure question
1	what areas of physics depend on the sum $1 + 2 + 3 + 4 + 5 + 6+ 7+\ldots= -1/12$ ?	how does the sum of the series “1 + 2 + 3 + 4 + 5 + 6…” to infinity = “-1/12” ?
0	would it be possible to develop special relativity without knowing about light ?	how to find equation of motion for this trajectory ? - object leaves curved ramp at a given velocity
0	what is meant by " combinatorial background " in experimental high energy physics	energy-momentum tensor of a gravitational wave
1	what is the mass of a photon moving at the speed of light ?	how can a photon have no mass and still travel at the speed of light ?
0	effect of crystal growth on its scintillation	magnetic force and terminal velocity of falling loop and falling disc ?
0	mass of small fluctuation around vacuum	why are laws of physics always of product forms ?
0	energy time complementarity from unitary evolution	difficulty in visualizing more than three spatial dimension
0	how does the period of a temperature fluctuation affect the depth to which the ground freezes ?	when longitudinal waves and transversal waves enter air from a soild , what will happen ? how do waves transform ?
0	energy conservation in general relativity	the many body problem
0	how often can virtual particle/antiparticle pairs form real particles in a space expanding sufficiently fast to do this ?	how would we perceive time going backwards ?
0	how does wave function collapse when i measure position ?	anti-symmetric forms on dirac spinors
1	what is the difference between electron movement and charge movement in electricity ?	how does electricity propagate in a conductor ?
0	too small error on the calculus of wavelenght	is gnss-based positioning trilateration or multilateration , and why ?
0	expanding a ket in the position basis ?	different solutions for floating a diy torii gate deeper than it is original floating level
0	derrick’s theorem ( 2 )	information conservation during quantum measurement in $\psi$-epistemic interpretations
0	the physicality of the photon propagator	could someone remind me of what we mean by zero electric field " inside " a conductor ?
0	freedom in the choice of a beta functions in rg	would gravity on the surface of a planet which is being consumed by a black hole change ?
0	what exactly causes an increase in resistivity ?	can ( or how ) anthropic principle be made into a scientific theory ?
0	a question about the weyl transformation for the vertex operator of the closed-string tachyon	minkowski to euclidean
0	magnetic field associated with edge currents in iqhe ?	how much electricity can be generated from ambient sources ?
0	how to calculate the coefficient of restitution for 2 bodies ?	ten-ping bowling : can a ping pong ball knock over a bowling pin ?
1	magnetic field of a wire with over 1000 amperes ?	direction of magnetic force from a current running through a coil of wire
0	best observing techniques for a total lunar eclipse ?	circuits and power
0	what does the differential of $d_s\sin ( \theta ) = m\lambda$ help us see , with respect to waves through diffraction gratings ?	time dilation factor for the circular orbit at 3/2 schwarzschild radius
0	why a mono-atomic crystal layer ( 2d ) can not be stable ?	criteria for stable equilibrium
1	beginning physics , advise on books	beginner physics resources ?
1	twice the speed of light	double light speed
0	forces : why are the theta 's equal ?	how must i understand this 2-loop integral ?
0	how to interpret faraday 's law ?	symmetry factor of tree diagram
0	hamiltonian and non conservative force	black hole gravity pull
0	enlightening experimental physics books/resources	is qft mathematically self-consistent ?
0	gravitational potential of a sphere vs gravitational binding energy of a sphere	is there any possibility in the future that domestic power consumption could be wholly solar powered ?
1	can pressure in bars be equated to flow in litres per second ?	calculation of pressure from flow rate of water
1	energy of black body radiation	what are the various physical mechanisms for energy transfer to the photon during blackbody emission ?
0	magnetic shielding ?	should not the uncertainty principle be intuitively obvious , at least when talking about the position and momentum of an object ?
