0	change the highlight color in elementary os	yum can find a package , but can not install it
0	screenshot only the active monitor on ubuntu/debian	how to check will my computer is going to reboot ( or shutting down ) ?
0	unwanted console text	create a booting external harddrive without formatting it
0	difference between vmlinuz-2.6.32-34-generic and vmlinuz-2.6.32-34-generic-pae	how to find data copies btrfs
0	installing tor on backtrack 5r3	shell vi mode prints ( arg : repetition ) : how to remove it ?
0	what rpms do i need for timeconfig ?	is it possible to make zcat output text even if it is uncompressed ?
0	using syncing files only comparing file name and not extension	how to get the version of my nvidia driver ?
0	aix cifs hostname with underscore	can i filter how often cron emails me ?
0	permisions overwritten when files are transfered via ftp . what to do ?	can not install netflix-desktop in debian . . . . aptitude has unmet/broken dependencies
0	why can not new versions of kernel solve the backlight problem ?	how to open chapters of vim user manual in vim
0	/proc/self/maps - 3rd mapped piece of file ?	trouble with setting for new monitor
1	how a piped shell programs balance their output/input rates ?	bash while loop and reading from pipe
0	how to run my own program without specifying its path	is there a clang-snapshot ?
0	when importing a key during a yum installation , where is that key stored ?	how to make sure openvpn is connected ?
0	how do you get fgrep to find the literal "--help " ?	plugin support for gcc in rhel/centos ?
1	paths for searching executables	how do i clear bash 's cache of paths to executables ?
0	my /var/www directory is full	how can i get the most bang for my buck with the " diff " command ?
0	can linux be configured as a server or workstation in dcs and how ?	redhat / centos 7 firewalld best practice for pptp or l2tp/ipsec rules
1	bash script question - skip enter key press	reading character by character with bash read
0	how to get numbers by using regular expression , but only last one	why could the size of the " dot " file " . " exceed 4096 ?
1	can the background of the log-in screen of linux mint 11 change ?	how do i configure the gnome gdm login screen ?
0	how to extract files from uimage ?	talkd does not print a message
0	awk - get input from both file and stdin ?	as what user is an sshfs mounted folder being accessed ?
0	does flashplugin still use mms . cfg ?	windows host shares does not get mount when i boot into linux guest in vmware ?
0	how to change user authentication banner message ?	generating diagrams ( in png or jpg ) from console ?
0	wacom pen & touch cth-460 on debian	ssh to untrusted machine
0	how do i replace symlinks in a path with their target within a script ?	darkstat shown blocked traffic
0	what is a " kernel panic " ?	fatal error : linux/smp_lock . h : no such file or directory
1	how to deploy programs on multiple machines	linux bulk/remote administration
0	why is this autogen . sh script failing ?	crypt ( ) on different machines
0	execute remote programs and completely detaching it	resume from hibernate fails after image restoration
0	how to limit number off ssh login attempts per time interval	sending signal to user that a partricular driver is loaded
0	convert /dev/md0 to /dev/sda1	accessing hidden partitions
0	how can i make mutt show date field of mail on the index screen ?	dd : ' bs ' , ' count ' & ' seek'
0	how to start a virtual machine filled with qemu-nbd ?	foreign characters will not display in ssh
0	achieving full resolution with powervr sgx454 on ubuntu 12.04	openvpn clients can not access to lan
0	will enabling hyper-threading create two virtual half-speed processors ?	can i create a man page for a script ?
0	listening for journalctl changes	google chrome repo ( debian stable )
0	padding day / time values to ensure 3 digit length	md5sum command binary and text mode
0	can i duplicate my apache server settings on a new linux install ?	amazon cg1 instance does not include nvcc
0	calculate apache is response time for last 10 seconds	why lfs could not use original host environment variables ?
0	install kernel headers without overwriting old headers	changing permissions for files in linux
0	help with simple script - absolute , relative paths	how can i get a copy of /var for sunos 5.5.1
1	reformatting output with aligned columns	a shell tool to " tablify " input data
0	how can i create my own distro and include a custom kernel & packages ?	combined `mkdir` and `cd` ?
0	how does apt-get deal with multiple sources ?	configuring default static routes with ripv2
0	can not resize a partition using resize2fs	how can i enable internet sharing without using the gui or apple script on snow leopard ?
0	how to find the cause of an ssh-scan exploit ?	recover files from ext3 formatted external hard drive
1	zip a directory that name start with `-`	what does "--" ( double-dash ) mean ? ( also known as " bare double dash" )
0	shell backup script , missing ` ] `	linux , printing specific parts of a text document
0	forget a hashed executable location in bash interactive shell	when auto-completing in tcsh , can i reference a previous argument ?
0	is there a tool for summarizing what all commands do ?	write program output to log file containing pid in its name
0	run 64 bit app on 32 bit system ( ubuntu )	how do i completely disable an account ?
0	how to set default editor/viewer for midnight commander to sublime	accessing a linux machine with a name ( not ip address )
0	delete a system user account if daemon is no longer needed ?	i have tried twice to write a debian iso to a cd-r but there are write errors . are the disks ruined ?
1	backup files with tar command and progress bar ?	measure pipe throughput in the shell
0	how does linux kernel compare to microkernel architectures ?	how to split files ?
0	echo bytes to a file	filter the clipboard content without using an intermediate file
0	intel wireless 7260 card is slow ; eventually hangs and is unable to reconnect	what is being cached ?
0	can not use mail command	libusb_init ( ) returns -99
1	why slight delay after failed login in tty	why is there a big delay after entering a wrong password ?
0	reordering strings in linux	concatenate multiple files with same header
0	is there any web browser that uses keybinding apart from uzbl ?	any chance to fix dual boot not having to turn uefi on and off to switch os ?
0	limit program execution to a list of arguments	executing a script in zsh - file permissions
1	how to avoid unnecessary deletion and recopying of moved folders when using rsync ?	any way to sync directory structure when the files are already on both sides ?
0	s3 sleep problems -- nvidia or intel h67 ( sandy bridge motherboard ) issue ?	globbing with * in bash - debian vs rhel
0	scp files from machineb to machinea	find and exec : why does this command not work ?
0	checking the type of nat	boot crunchbang livecd from hdd
0	best practices for writing blu-ray discs on linux	help understanding interfaces in backtrack
0	is this ddrescue command doing anything ?	apt-get dist-upgrade fails
0	how can i disown a running process and associate it to a new screen shell ?	last command in ksh
0	savings emails as individual files using procmail	how do i make kde open mail links to a webmail client in a browser ?
0	how to know free disk size witout df command ?	no route to host after upgrade to fedora 19
0	desktop indexing with kde	traffic shaping with tc does not work
0	intermittent ping times on a raspberry pi wifi access point	how do i configure systemd to activate an encrypted swap file ?
1	input output redirection in bash	what is > > symbol and > & in unix/linux ?
0	script to " remount " a partition ( umount then mount )	what is the scheme for textual representation of keystrokes in screen ?
0	imagemagick used to generate ppm 's in linux , ppm 's are unreadable	is there an easy way to not log a specific sshd event ?
0	issue with winch signal - what am i overlooking ?	capturing os/hardware communication / reverse engineering drivers
0	synchronize kde4 hotkeys	forcing ' yes ' to new update license agreements ?
0	less --quit-if-one-screen without --no-init	add a symbol before any letter
0	how to change default syntax-highlighting for header-file in kate	adding custom compose key sequences
0	is there a command or method ( other than rtfm ) to determine if a system has a uefi bios ?	what is difference between fish and sftp ?
0	linux:how to tweak tso and gso from proc window / sysctl	disable gnome on a debian install
0	how can i loop through lines of a file and find files matching each line ?	service vsftpd restart : not working
0	reliable return code of background process	what is the key difference between grml zsh config and oh-my-zsh config
1	running a bash script each time a file is uploaded ?	how to run a command when a directory 's contents are updated ?
0	change/create permissions for a folder	how to fix diacritics in pdf forms in evince ?
0	why real time can be lower than user time	is it possible to stop a shutdown command ?
0	how to enable vim addon packages ?	current state of amd graphics driver for linux ?
1	how to escape spaces while using command 's output in command line	how to deal with spaces in a variable
1	search for a string in files recursively in busybox 1.0 ?	how to grep a text recursively on busybox 1.0 ?
0	getting the parent path from a script	if statement apparently not working in rsyslog
0	failed to stuff " ctrl-a h " to a screen session	two users , full access to same folder
0	how do you install grub2 on a usb stick ?	how to check that a user/password is expired in aix ?
0	command not found in shell script	how to get 3 minutes future date ?
0	rsync large dir , bigger than destination , need to stop and start	how do i mount drive from one machine to another machine ?
1	extracting text using sed does not work as expected	extracting a regex matched with ' sed ' without printing the surrounding characters
1	restore deleted mysql directory in linux	recovering accidentally deleted files
0	after upgrading to linux kernel 3.9 , kde does not start correctly	"only root can mount " error - but i am root
1	how to add color to my command prompt ?	how to customize . bashrc to configure command prompt ?
0	burning a directory structure from a stdin pipe	dual-headed bumblebee
0	selinux is denying access to mysqld	bash script error : integer expression expected
0	linux mint 15 unable to install on vm virtualbox	fedora 12 no wireless networks detected
1	how to use a shell variable inside sed 's s command ?	how to ensure that string interpolated into `sed` substitution escapes all metachars
0	mint : correct way to install /lib/i386-linux-gnu/libgmp . so . 3	compare two numbers read from a file
1	troubleshooting joining a group in mint in virtualbox	i added a user to a group , but group permissions on files still have no effect
0	symbolic link and hard link questions	why is this empty directory 3.5mb ?
0	pekwm does not list minimized windows	date format in /etc/hosts . allow
0	how to remove the last character from every line in a text file	use server name instead of ip address
0	how to setup 3 screens with 2 ati gpu debian squeeze	how to control keyboard backlight using hotkeys
0	intersection of two files according to the first column	failed to start slapd in centos
0	unable to install bsddb185 , python library for opening berkeley db version 1.85 files on ubuntu	logging in using voice commands with gdm
0	pseudo-terminal message in script	change password of a user in /etc/shadow
1	how can i run reboot as a normal user without needing to enter a password ?	allowing a user to use sudo without a password
0	my postfix installation is sending out spam ; how to stop it ?	why does newgrp change my ps1 and how to prevent it ?
0	what is the most high-performance linux filesystem for storing a lot of small files ( hdd , not ssd ) ?	how to install ubuntu software center on kali linux
0	when using ' yum list installed ' why are some entries listed in bold ?	noexec on /tmp and /var/tmp directory
0	how to create infinite pipe of strings in bash	how can i get distribution name and version number in a simple shell script ?
0	memory ussage for tcp or named pipe message buffers ?	postfix relay multiple domains with multiple origins
1	extract given column from comma-separated values with inner commas and quotation marks	is there a robust command line tool for processing csv files ?
1	file descriptor linked to socket or pipe in proc	/proc/pid/fd/x link number
0	addrconf ( netdev_up ) : eth0: link is not ready	net-snmp application
0	how to reduce and remove physical volume from active logical volume ?	change korn prompt to show shorter path for working directory
1	"tail -f " show old file after file has been rotated	how to do a `tail -f` of log rotated files ?
0	how to send data to a serial port and see any answer ?	ossim server email alert
0	allow a user to view the home directory of other users via sudo	oracle weblogic ipv6 with oracle database on ipv4
0	sed and awk learning material	meaning of `export path=…` in . bash_profile
0	history of wine	running a transparent proxy for lan and webserver for wan
0	adding an empty first line inside csv file	not allowed to read a file with correct group permissions ? acl ?
0	xargs line too long	vps/cloud configuration management automatization for small environments
0	add bracket across numbers at only end of each line	allow nonroot user to mount a particular ntfs external hard drive
0	how to enable wifi using keyboard ( dell inspiron 14r ) in suse linux 11.4	ncurses-devel problems in suse linux enterprise desktop 11
1	what does * next to the file name mean in the output of ls ?	what do the symbols displayed by ls -f mean ?
0	how to add a string of numbers to multiple text files in a directory ?	empathy sets status to " offline " when i set it to " invisible " ?
1	`du -sh` reports different used size than `df -h`	df says i have 20g more disk space used than du . why ?
0	syncing directories in both directions with rsync	download pdf files from using curl
0	where are command line arguments ( e . g . ' some . text' ) actually passed to ?	linux fullscreening video
1	run a command without making me wait	opening firefox from terminal
0	how to import numpy	real-world use of tcp_defer_accept ?
0	is it possible to login to a linux machine with ad credentials without the machine beeing member of the ad ?	how can i make a user able to log in with ssh keys but not with a password ?
0	is there a clipboard on non-gui ubuntu / linux systems ? can i synchronize it with my local ( os x ) clipboard ?	pam-auth-update does not display prompt screen or log any failure
0	how to ' strace ' a unix domain socket ?	bsd kernel vs . linux kernel ?
0	apache2 virtual hosts with mod_wsgi settings question	a vnc server is already running - howcome ?
0	where in the linux kernel sources can i find a list of the different keyboard scancodes ?	why email clients prepend `re:` to subject line ?
0	pattern replacement	del accel reseted in every boot . ( debian testing , nautilus )
0	dual monitors + parallels 8 + debian lxde	low-ram linux distro specifically for serving static sites
1	changing name of some files in bulk	how can i rename multiple files by inserting a character ?
0	where can i find a reference to the format of the comment field ( field 5 ) of the /etc/passwd file ?	fedora 15 , oracle 11: can not login using sqlplus
0	screen very dim after resume from suspend	emacs slow loading time with auctex on tex files
0	emacs 24 not finding system fonts	sharing a local directory between local users with full permissions
0	how to optimize an iptables script ?	grepping number in a file
0	issue with permissions with a usb flash drive	linux mint 12 two finger scrolling
0	case sensitive substitution ; same target ids	how to start application after login on centos ?
0	i want to use a bluetooth keyboard during initram	pluggin a bunch of usb hard drives into a linux system ?
0	hidden directory in samba share	divide a variable by a number ?
0	ksh cannot cp from location with space in it ?	find the set of common files between several directories ?
0	finding yum equivalents of apt repositories ?	can sed remove ' double ' newline characters ?
0	django not installing with pip because of mismatched hash	how to automatically record all your terminal sessions with script utility
0	bash script and local env variable namespace collision	how to use " rm ! ( *keyword ) in bash 4.1.2 ?
1	advanced usage/command of shell	is there any book , tutorial on very very advanced shell scripting
1	how to cat a file for a certain number of seconds ?	run a command for a specified time and then abort if time exceeds
0	how to detect ip of given device in same network	installing qemu-img on ubuntu 11.04
0	is there a way to install and remove packages in a single yum command ?	retrieve password on remote server
1	how to report time and other information on all bash commands ?	forcing an ' added ' alias to every command
0	how to make a printer which is recognized but not working print	how to log out of su and another user
1	how to view graphical view of application using ssh	how to forward x over ssh from ubuntu machine ?
