0	removing device from usb hub triggers udev event for removing hub	how can i print out the current keybindings in linux/debian ?
0	why is not the -rt ( rt-preempt ) kernel patch included by default in the mainline kernel ?	how can i best copy large numbers of small files over scp ?
0	windows 7 not working correctly after partition resize	listening for journalctl changes
0	trying to ssh into my android phone , but connection closed	syslog : process specific priority
0	prevent hanging of " echo string > fifo " when nothing is reading that fifo	how can i configure all dependencies before installation ?
0	simulate windows media player media sharing	how can i find where lang , language and mail environmental variables are set ?
1	remove all the new lines in a text file using sed	can sed replace new line characters ?
1	add ssh user with minimum rights for backup	adding a user who can only execute scripts remotely
0	syntax error in bash script : near unexpected token `else'	how to use my login password to do two things
0	xvfb or firefox throwing errors & gratuitously logging	my ubuntu background is totally black , even after opening programs such as terminal
1	how to recover a file just deleted	recovering accidentally deleted files
0	rsync remote to local automatic backup	command type " hashed " ?
0	how to report back system installation progress	setting up a development environment in ubuntu
0	what is an equivalent of rm `find lib/ -name * . swp` without find ?	methods to find out which ( configuration ) files are read by executable when started
0	how does one make a backup of system-connections on to a usb flash/thumb drive ?	bash restart mysql when it gone run well in ssh part , but not in cronjob
0	where are my sshd logs ?	gstreamer and sample rate conversion
0	how can i edit multiple files in vim ?	iptables port redirection should have broken apache but did not
0	how to enable root user in linux ( ubuntu ) ?	changing default line discipline at kernel level
0	how do i pass my password to gksu ?	how to install gnu make on freebsd 10 ?
0	how can i hook on to one terminal 's output from another terminal ?	does mc ( midnight commander ) have favourites for directories ?
1	how to trick a particular command into thinking it is a different date ?	how to freeze system clock for a wine application ?
1	how to recover data in linux mint quiana	how to recover a file just deleted
1	logging and controlling changes to the system	how to keep track of changes in /etc/
1	installing grub from a 32bit rescue disk to a disk with 64bit linux	how can i fix/install/reinstall grub ?
0	is it possible to obtain os x versions of unix tools on modern linux distributions ( like ubuntu or redhat ) ?	what are the specific naming conventions for variables in bash shell scripting language ?
0	what is the equivalent of /usr/share/misc on solaris ?	does fetchmail support these imap features ? if so , how ?
0	what is ssh - the protocol and what is ssh - the utility ?	why does export -p exclude $_ variable ?
1	bash crashed with for loop	`seq` and bash brace expansion failing
0	how to clone btrfs filesystem into different medium preserving snapshots ' sharing data	how do i insert a space every four characters in a long line ?
0	how can i flatten nested . tar . gz files ?	how to modify source code of collection of programs of a gnu/linux os ?
1	setting path vs . exporting path in ~/ . bash_profile	how to correctly add a path to path ?
0	why can not i source a script file from . xsessionrc ?	single machine with two disks
1	why are these values not appending correctly when appended to the pipeline ?	piping for loop output prevents local variable modification
0	how to fix russian letters in a wine application when adjusting lang does not help ?	'e:the package linux-headers-3.5.0-54 needs to be reinstalled , but i can not find an archive for it . ' when upgrading the system
0	how to rip scratched audio cds ?	usb error -110 ( power exceeded ) but works when reconnecting
0	how to get a process uptime under different os ?	ncurses based menus
0	how to list console and kernel fonts ?	execute snippet of code when key is pressed
0	generating sets of files that fit on a given media size for tar -t	ssh : which one is my public key
1	preserve scroll on linux console switch	how do i ensure that a terminal remains scrollable ?
0	can there be multiple kernels executing at the same time ?	is there a way to share a service listening on loopback of the host with an lxc guest ?
0	geany feature or plugin to show members of a class	iptables not forwarding . input instead
1	why does not setuid not work ?	allow setuid on shell scripts
1	"rsync : failed to set permissions on . . . " error with rsync -a or -p option	why do i get an " rsync : failed to set times on . . . : operation not permitted ( 1 ) " error on ubuntu 10.10 with sme server 7.4 ?
0	passing passwords to a script	symbolic link with existing directory
0	copy the last emacs message into the current buffer	all occurrences of a regex get removed without using the " global " modifier
1	how can i access a linux box at home in my browser at work ?	a web ssh/telnet client
0	enabling compiz viewport switcher key bindings	re-access nfs volume from os x mavericks client after server reboot ?
0	how to change the width of remote serial console ?	turn system on by usb keyboard ?
0	configuring hubot to connect to a local openfire server	how to use a samba login to mount a luks container ?
1	move to the beginning of a line in screen	shell : how to go to the beginning of line when you are inside a screen ?
1	how to make a program which run from shell still live after close terminal ?	how do i prevent a script from terminating when the shell exits ?
0	linux - lxc ; deploying images with tiniest possible x11	does * match hidden files in tar even with dotglob unset ?
1	what information about a process is retrievable after it is terminated ?	finding command execution time in hindsight
0	how to clear terminal after logging out ?	questions about extended attributes
0	what do the tags in `monitors . xml` do ?	is it necessary to reboot after a kernel upgrade ( via apt ) ?
0	unable to write to a gpio pin despite file permissions on /sys/class/gpio/gpio18/value	installation of canon laserjet lbp 2900b printer drivers in linux mint-16-cinnamon-64 bit
0	use `cut` to extract a list from /etc/passwd	how is default readahead value determined
1	human readable memory sizes in top ?	how to display meminfo in megabytes in top ?
0	is there a tool for summarizing what all commands do ?	difference between tar and star
0	run a simple http server locally on a non-80 port	error when constructing an associative array
0	applying an io redirection&audio device example in fedora	how to install touchégg on fedora 20
1	the amount of time since the system was last booted	how long system has been awake / running / since restart
1	i specifically want to delete my grep output string from the text file	delete the matching line and several more from a file
0	how to list and filter samba users that need a password change ?	no window menus in freenx
1	how can i hide a command line from ( e . g . ) top & htop ?	how to make a process invisible to other users ?
0	what does " kernel-resident " mean ?	i can not login to the graphical interface after a fresh installation of debian ?
0	linux - preventing an application from failing due to lack of disk space	cpu and ram monitorization by parent id
0	run script on " safely remove " action in kde	a question about wlan0 / eth0 and wireshark
0	how to print a string at the end of line using awk ?	is there a way to execute the second-to-last command that started with a given string ?
0	force fsck check after reboot with single command	where can i see a list of kernel killed processes ?
0	why are not the fedora gpg keys signed ?	keyboard layout is not changed in chromium under debian
0	setfacl incorrectly changes group permissions	remove lines that is newer than the given date in a file
0	how to remove multiple lines per occurrence in a file ?	why does not eth0 get an ip address when set up in a bridge ?
1	what is the difference between ~ and / in paths	what is the "~/" directory ?
0	aptitude installing jre	set static ip in centos 6.4 ?
0	convert a tab-delimited file to use newlines	sort but keep header line at the top
