0	what causes mutt to fail in this way	why my dconf-editor has fewer options in elementary os luna than supposed to ?
0	top show high cpu on process but idle on load average	convert formatted dates to seconds since the epoch
1	`sort` disregards question mark	is gnu coreutils sort broken ?
1	wireshark : could not run /usr/sbin/dumpcap in child process	i added a user to a group , but group permissions on files still have no effect
1	use xargs input in eval command	xargs loop with input variable for use in multi-command
1	how to recover files i deleted now by running rm * ?	recovering accidentally deleted files
0	difference between unix os types	pretty print mails from mutt ?
0	keyboard is disabling	how to manually install a cpp library
0	moving from innodb to tokudb	changing bash keyboard shortcuts
1	package management	how to automatically install packages ?
0	suspend-to-ram fails on gentoo with i915	set up nginx to serve files from subdirectories
0	rebinding/disabling ctrl+alt+f#	install g++ when having gcc ( c only ) -- rh6
0	hosting multiple websites on webmin	ubuntu + extract filesystem . squashfs for editing
0	how to login from remote server to my own pc ?	how to update broadcom driver in arch linux ?
0	how can i hide the command list in alpine ?	files have the same inode but they do not link to each other
0	cannot get realtek r8168 ethernet card up	parted not recognizing my current partition on external disk . how to fix without losing data ?
1	alias for a command using ! ! to recall the last command	how can i `alias sudo ! ! ` ?
0	is star faster than gnu and bsd tar ?	cpufreq-set -g performance does not work on arch linux
0	insert new line after non matching pattern	iptables redirect outside requests to 127.0.0.1
1	recursively delete all files with a given extension	how do i recursively delete directories with wildcard ?
0	confused about pam configuration stanza and the roles of the control-flag parameters	attaching two network cards two different drivers
1	disable mail notification on login	disable mail check on login ?
0	what is resume= used for in my grub boot settings ?	stdin : is not in tty
0	what does ` ( backquote/backtick ) mean in bash ?	ffmpeg installation on linux rehel/centos 6 . x
0	touch : cannot touch `foo': no such file or directory	is ' some_program <some_file ' faster than ' cat some_file | some_program ' ?
1	ssh connection establishment too slow	how to speed my too-slow ssh login ?
0	vimperator status bar not working	running thousands of curl background processes in parallel in bash script
0	wdfs mount problem	how can i switch window managers in gnome 3 ?
0	extend sda3 partition in opensuse ?	how to list all styles in zsh
1	distribution for eldery people	what linux is best suited for people new to computers ?
0	what is the ^m character called ?	literally grep the only word in a line
1	how to know how long a process has been running ?	how to check how long a process has been running ?
0	effectivity of shred on different file systems	udev rule for assigning known symlinks for identical usb serial devices
0	system calls in linux	i am failing to build virtualbox driver for linux 2.6.38
0	cp --backup=numbered for folders	how to build lc tool in linux ?
0	vim multiple windows / hide	redirect stdout over ssh
0	i try to setup zabbix server on centos 6 ( close system ) but can find zabbix-server binary file after run rpm install rpm package	debian sheevaplug internet not working
0	pipe in a shell script	launchy : hot keys will not work in xmonad
1	tmux key-bind like to use the windows/super for my meta key in tmux without x	how do i bind the tmux prefix to a super ?
0	what are the two head . s files in linux source ?	does the gateway have to be on the subnet ?
0	difference between useradd -b and useradd -d	how do i correlate /dev/sd devices to the hardware they represent ?
0	disable keyboard shortcuts in thunderbird	mouse cursor disappearing after running gnome-settings-daemon in openbox
0	does `ntpd` set hardware clock ?	in which file is hostname alias persistent , if not /etc/hosts ?
0	what is the algorithm that the `iw` command uses for choosing an access point for a given wifi network ?	disable transparent hugepages
0	how to have a chroot system mount shared with its host ?	route vpn through proxy
1	how can i display octal notation of permissions with ls - and can octal represent all permissions ?	convert ls -l output format to chmod format
1	is possible to change x server without kill client ?	reattach to lost x11 session
0	download one html page with all needed graphics and linked pdf/zip files	dhcp ip lease attempt failed over ethernet and dhcp with netctl
0	listing with `ls` and regular expression	printer " filter failed " errors -- 2 bizarre workarounds
0	why only one active group at a time ?	how to set default tabs only for cat ?
0	how do i know if a partition is ext2 , ext3 , or ext4 ?	what is the most complete ms word alternative ?
0	why does variable expansion without $ work in expressions ?	centos kernel version 2.6.32-431 . el6 . x86_64 bugs
0	what is the :0 terminal in the who command 's output ?	make a bootable cd without iso file but from a cd
0	writing basic systemd service files	how to resize a virtualbox hdd image
0	multiple lan interfaces on one vm rather than multiple vm	how to write a startup dependency on internet availability ?
0	how to control keyboard backlight using hotkeys	os x virtualization for software development
